01 - Rental Details Rental ID,01 - Rental Details Local Start Time,01 - Rental Details Local End Time,01 - Rental Details Bike ID,01 - Rental Details Duration In Seconds Uncapped,03 - Rental Start Station ID,03 - Rental Start Station Name,02 - Rental End Station ID,02 - Rental End Station Name,User Type,Member Gender,05 - Member Details Member Birthday Year
22187308,2019-04-01 22:18:54,2019-04-01 22:46:00,3990,"1,626.0",215,Damen Ave & Madison St,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1984
22187309,2019-04-01 22:19:01,2019-04-01 22:39:45,2193,"1,244.0",215,Damen Ave & Madison St,168,Michigan Ave & 14th St,Subscriber,Male,1966
22187310,2019-04-01 22:19:22,2019-04-01 22:29:42,4584,620.0,294,Broadway & Berwyn Ave,463,Clark St & Berwyn Ave,Subscriber,Male,1983
22187311,2019-04-01 22:19:39,2019-04-01 22:33:11,3208,812.0,84,Milwaukee Ave & Grand Ave,142,McClurg Ct & Erie St,Subscriber,Female,1991
22187312,2019-04-01 22:20:23,2019-04-01 22:23:18,4678,175.0,420,Ellis Ave & 55th St,418,Ellis Ave & 53rd St,Subscriber,Male,1993
22187315,2019-04-01 22:21:48,2019-04-01 22:27:20,3137,332.0,142,McClurg Ct & Erie St,199,Wabash Ave & Grand Ave,Subscriber,Male,1987
22187316,2019-04-01 22:21:53,2019-04-01 22:27:12,774,319.0,426,Ellis Ave & 60th St,420,Ellis Ave & 55th St,Subscriber,Male,1999
22187319,2019-04-01 22:23:40,2019-04-01 22:32:15,2131,515.0,493,Western Ave & Roscoe St,230,Lincoln Ave & Roscoe St,Subscriber,Male,1956
22187320,2019-04-01 22:23:58,2019-04-01 22:45:02,5160,"1,264.0",419,Lake Park Ave & 53rd St,425,Harper Ave & 59th St,Subscriber,Male,1969
22187321,2019-04-01 22:24:06,2019-04-01 22:30:13,889,367.0,232,Pine Grove Ave & Waveland Ave,312,Clarendon Ave & Gordon Ter,Subscriber,Male,1980
